Undergraduate Major,Starting Median Salary,Mid-Career Median Salary
Petroleum Engineering,93200,187300
Operations Research & Industrial Engineering,84800,170400
Electrical Engineering & Computer Science (EECS),108500,159300
Interaction Design,68300,155800
Public Accounting,59800,147700
Operations Research,83500,147400
Applied Economics and Management,66100,146400
Business Computing (BC),73000,143600
Actuarial Mathematics,64300,143400
Electrical Power Engineering,76100,142600
Information & Computer Science,58600,140900
Aeronautics & Astronautics,77600,139600
Systems Engineering,77700,139200
Econometrics,64200,139000
Pharmacy,68600,138700
Aerospace Studies,55800,136600
Building Science,53800,135900
Chemical Engineering,76900,135900
Cognitive Science,68700,135200
Actuarial Science,67700,134400
Political Economy,65100,133500
Computer Systems Engineering,79000,133200
Electrical & Computer Engineering (ECE),78100,131600
Computer Science (CS) & Engineering,79400,131300
Marine Engineering,79900,131300
Aeronautical Engineering,74700,131100
Computer Engineering (CE),79000,131000
Naval Architecture & Marine Engineering,74400,130700
Entrepreneurship & Marketing,51400,129800
Corporate Accounting & Finance,65200,129700
Mechatronics,72800,129600
Nuclear Engineering,76400,129400
Electrical Engineering (EE),75600,127700
Foreign Affairs,54800,127700
Marine Transportation Management,71100,127500
Mechanical & Aeronautical Engineering,70900,126900
Welding Engineering,81000,126600
Instrumentation & Control Engineering,73100,126400
Computational & Applied Mathematics,75500,126000
Electrical & Electronics Engineering (EEE),74700,125800
Aerospace Engineering,74300,125700
Astronomy,66600,125400
Optical Science & Engineering,71000,125400
Quantitative Business Analysis,74000,125400
Computer Science (CS) & Mathematics,70500,125100
Industrial & Systems Engineering,73100,124800
Economics and Mathematics,68200,124100
Biomedical Engineering (BME),71300,123600
Managerial Economics,65200,123600
Computer Science (CS),75100,123400
